contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
11,cmichel,N-11,0,,1,1,1,0,USDC,0
11,cmichel,L-01,1,,0.81,3,0.27,129.7011197,USDC,129.7
11,cmichel,L-03,1,,0.81,3,0.27,129.7011197,USDC,129.7
11,cmichel,M-03,2,,2.7,2,1.35,648.5055985,USDC,648.51
11,cmichel,M-08,2,,3,1,3,1441.123552,USDC,1441.12
11,cmichel,M-09,2,,2.187,4,0.54675,262.6447674,USDC,262.64
11,cmichel,M-12,2,,3,1,3,1441.123552,USDC,1441.12
11,cmichel,H-02,3,,8.1,3,2.7,1297.011197,USDC,1297.01
11,cmichel,H-04,3,,10,1,10,4803.745174,USDC,4803.75
11,cmichel,H-05,3,,8.1,3,2.7,1297.011197,USDC,1297.01
11,cmichel,H-06,3,,9,2,4.5,2161.685328,USDC,2161.69
11,cmichel,H-07,3,,10,1,10,4803.745174,USDC,4803.75
11,gpersoon,N-04,0,,1,1,1,0,USDC,0
11,gpersoon,N-05,0,,1,1,1,0,USDC,0
11,gpersoon,N-08,0,,0.9,2,0.45,0,USDC,0
11,gpersoon,M-01,2,,2.187,4,0.54675,262.6447674,USDC,262.64
11,gpersoon,M-10,2,,3,1,3,1441.123552,USDC,1441.12
11,gpersoon,G-04,g,,1,1,1,0,USDC,0
11,pauliax,N-06,0,,1,1,1,0,USDC,0
11,pauliax,L-03,1,,0.81,3,0.27,129.7011197,USDC,129.7
11,pauliax,L-05,1,,1,1,1,480.3745174,USDC,480.37
11,pauliax,L-07,1,,1,1,1,480.3745174,USDC,480.37
11,pauliax,M-01,2,,2.187,4,0.54675,262.6447674,USDC,262.64
11,pauliax,M-09,2,,2.187,4,0.54675,262.6447674,USDC,262.64
11,pauliax,H-05,3,,8.1,3,2.7,1297.011197,USDC,1297.01
11,pauliax,G-05,g,,1,1,1,0,USDC,0
11,s1m0,N-07,0,,1,1,1,0,USDC,0
11,s1m0,M-02,2,,2.7,2,1.35,648.5055985,USDC,648.51
11,s1m0,M-09,2,,2.187,4,0.54675,262.6447674,USDC,262.64
11,shw,N-08,0,,0.9,2,0.45,0,USDC,0
11,shw,N-09,0,,1,1,1,0,USDC,0
11,shw,L-02,1,,0.9,2,0.45,216.1685328,USDC,216.17
11,shw,L-03,1,,0.81,3,0.27,129.7011197,USDC,129.7
11,shw,L-06,1,,1,1,1,480.3745174,USDC,480.37
11,shw,M-01,2,,2.187,4,0.54675,262.6447674,USDC,262.64
11,shw,M-09,2,,2.187,4,0.54675,262.6447674,USDC,262.64
